,01-2018,02-2018,03-2018,04-2018,05-2018,06-2018,07-2018,08-2018,09-2018,10-2018,11-2018,12-2018,01-2019,02-2019,03-2019,04-2019,05-2019,06-2019,07-2019,08-2019,09-2019,10-2019,11-2019,12-2019,1-2020,2-2020,3-2020,4-2020,5-2020,6-2020,7-2020,8-2020,9-2020,10-2020,11-2020,12-2020,1-2021,2-2021,3-2021,4-2021,5-2021,6-2021,7-2021,8-2021,9-2021,10-2021,11-2021,12-2021,1-2022,2-2022,3-2022,4-2022,5-2022,6-2022,7-2022,8-2022,9-2022,10-2022,11-2022,12-2022,1-2023,2-2023,3-2023,4-2023,5-2023,6-2023,7-2023,8-2023,9-2023,10-2023,11-2023,12-2023,1-2024,2-2024,3-2024,4-2024,5-2024,6-2024,7-2024,8-2024,9-2024,10-2024,11-2024,12-2024,1-2025,2-2025,3-2025,4-2025,5-2025,6-2025,7-2025,8-2025,9-2025
Croatia,94.399,73.728,184.800,544.193,1.212.664,3.159.883,7.155.147,7.391.293,2.435.784,632.054,136.401,227.932,92.697,95.330,156.631,762.946,1.133.096,3.747.828,7.559.899,8.378.040,2.545.218,757.103,147.071,254.463,116.918,122.022,63.492,20.378,65.134,806.026,3.708.485,4.588.142,684.558,171.651,81.396,71.656,59.489,57.440,90.814,150.519,344.218,1.598.619,6.356.593,7.749.584,2.497.730,607.485,149.498,184.626,128.603,156.558,232.124,775.098,1.243.986,4.381.027,9.495.228,9.589.538,3.362.488,927.634,232.000,306.967,180.220,179.455,268.192,1.049.477,1.835.889,4.833.030,10.342.065,10.346.318,3.869.645,1.004.262,219.360,371.091,172.335,203.015,425.213,1.067.785,2.494.390,5.305.266,10.577.380,11.349.400,4.149.289,1.231.390,293.993,418.349,223.815,225.240,317.454,1.391.707,2.265.606,6.541.674,11.254.286,12.267.267,4.539.205
Italy,1.831.471,2.153.237,3.076.689,4.531.492,5.489.770,7.168.327,11.587.560,12.557.755,7.281.906,4.938.337,2.291.911,2.953.050,2.093.202,2.447.755,3.061.081,6.121.457,5.676.644,8.945.925,12.993.808,14.477.242,8.180.590,6.021.192,2.652.655,3.372.858,2.640.700,3.008.953,561.096,156.300,237.941,1.252.444,5.420.784,10.202.968,4.089.693,1.909.249,407.905,395.832,336.231,494.587,389.952,421.057,1.423.581,3.497.052,9.821.064,13.105.719,6.320.742,4.427.455,2.112.223,2.542.560,1.766.465,2.301.862,2.840.156,5.855.278,6.145.392,9.790.574,15.219.199,16.140.111,9.797.217,7.159.925,3.111.128,3.978.643,3.238.579,3.765.004,4.343.444,8.569.070,8.961.335,11.966.463,17.547.021,18.378.861,12.338.325,9.090.754,4.019.138,5.055.367,3.696.824,4.624.756,6.326.659,9.013.600,11.889.901,13.698.857,20.022.912,21.496.491,14.207.925,11.133.066,4.965.169,5.652.801,4.379.363,5.227.979,6.035.702,11.395.795,12.538.763,15.899.780,21.272.922,22.320.038,15.178.085
Cyprus,63.774,80.625,152.957,221.841,320.990,443.516,570.285,625.108,515.472,412.943,148.969,125.895,99.735,113.238,174.249,299.397,351.996,507.673,630.141,708.338,548.445,470.594,183.372,154.093,119.430,141.978,89.225,17.353,21.453,60.167,194.795,344.319,143.850,133.518,44.231,41.751,19.423,16.061,24.453,58.758,116.988,258.200,471.600,536.712,395.023,422.480,208.692,156.226,99.411,121.363,179.417,317.654,343.322,432.111,604.341,660.844,471.790,478.758,223.254,203.477,165.684,192.687,254.130,394.431,444.925,551.653,717.502,800.357,642.601,644.738,282.715,263.631,200.208,233.844,326.351,401.466,494.033,625.877,825.539,939.859,759.315,710.640,309.159,296.512,222.549,263.119,338.833,564.434,595.345,802.644,992.907,1.128.110,894.615
Latvia,36.958,28.838,40.277,53.232,78.614,116.967,211.294,204.576,76.589,60.462,49.582,63.373,51.101,39.176,48.099,76.869,111.900,147.304,271.958,266.837,94.430,80.250,64.554,85.126,71.593,61.682,41.087,16.865,24.434,67.007,166.375,157.687,45.964,38.051,27.803,29.044,23.236,23.478,27.202,32.279,41.301,64.990,147.135,139.141,60.744,54.504,36.426,50.511,38.497,42.577,53.540,71.809,77.355,129.821,234.218,216.179,90.959,85.331,61.498,77.403,58.446,59.131,66.860,94.045,125.927,166.898,316.101,266.365,119.431,93.084,70.973,100.382,65.517,68.015,89.496,89.663,127.782,196.161,347.777,331.249,130.254,112.215,89.987,122.365,79.209,79.954,90.719,124.363,156.394,215.125,376.567,369.426,162.538
Lithuania,54.159,45.035,59.695,75.921,106.681,142.864,254.104,242.280,100.558,74.620,60.855,81.997,62.978,54.587,69.764,93.533,129.263,180.419,292.229,301.466,120.370,91.901,80.128,101.411,85.286,76.758,49.098,15.312,35.131,108.560,219.372,204.932,78.058,57.325,34.237,27.662,20.933,23.570,30.095,47.082,81.676,153.453,252.056,218.573,95.933,80.634,58.789,72.439,60.319,63.513,77.735,101.991,114.771,194.279,321.958,314.750,130.916,112.108,86.673,106.154,86.147,91.923,89.360,131.534,153.254,229.114,404.622,359.938,170.475,119.454,98.482,128.774,93.212,98.819,124.886,132.921,200.642,293.395,458.104,459.945,199.881,147.180,119.234,157.265,109.154,117.271,126.489,166.997,213.987,304.138,494.675,483.153,208.577
Luxembourg,10.334,11.062,13.952,16.967,19.396,19.438,23.151,21.720,20.500,20.304,19.058,19.137,14.871,14.911,18.718,23.206,23.722,27.029,30.930,28.478,25.233,26.598,22.886,24.297,19.784,21.731,15.550,6.549,7.789,11.900,22.134,20.694,18.317,17.323,13.337,12.288,13.211,13.635,14.276,16.521,19.107,17.907,24.465,26.218,22.017,23.453,18.640,19.698,17.863,17.779,20.357,24.621,27.080,28.808,35.559,33.759,30.962,31.832,26.188,27.393,22.496,23.493,26.659,34.947,37.738,38.254,46.338,44.519,40.294,40.762,33.806,38.851,25.946,29.186,36.952,38.314,48.908,45.994,54.611,52.546,42.592,44.942,35.292,40.620,28.457,30.094,35.419,46.396,48.162,50.303,61.032,56.085,45.855
Hungary,308.707,322.232,437.268,568.219,637.766,696.877,1.217.585,1.310.083,686.189,607.737,435.436,549.479,372.702,389.237,466.160,755.694,733.434,874.387,1.324.650,1.503.649,780.978,729.741,543.666,698.224,500.492,519.110,242.076,39.719,58.526,151.499,552.480,715.024,156.395,129.256,66.773,54.214,53.969,58.219,58.156,61.624,95.281,216.098,555.945,758.737,396.828,389.004,335.258,368.370,299.653,352.512,423.159,541.504,517.431,695.058,1.163.382,1.221.726,634.660,617.321,493.733,618.216,442.848,465.862,509.491,768.476,736.173,878.176,1.497.350,1.524.656,794.165,734.470,603.448,799.388,499.019,564.667,707.091,771.917,976.696,1.017.113,1.588.597,1.732.166,928.882,912.332,757.744,1.014.761,623.518,651.467,707.052,1.050.340,1.052.090,1.136.000,1.682.651,1.916.299,1.019.010
Malta,69.223,84.467,132.428,202.365,253.496,300.848,414.625,445.390,318.364,286.114,120.409,114.345,85.226,93.777,126.771,260.118,279.215,355.988,483.205,535.955,370.281,334.726,142.033,145.160,108.234,135.458,68.751,16.334,16.676,21.882,109.497,186.279,86.928,70.324,34.276,42.706,28.742,28.330,26.631,26.459,55.975,107.836,195.788,250.452,191.586,178.122,106.410,90.681,63.834,83.703,113.645,215.836,235.562,303.238,437.594,478.739,320.176,277.503,153.203,139.750,116.661,145.391,177.712,328.249,371.296,413.874,584.139,674.989,465.200,443.481,217.164,206.105,154.472,208.358,295.028,428.531,533.556,603.316,833.152,954.598,641.014,603.767,296.033,282.086,221.137,315.053,388.566,648.618,693.174,787.716,1.056.536,1.131.916,822.435
Netherlands,307.522,359.396,548.750,768.598,868.583,814.463,1.094.475,1.153.351,763.650,763.490,455.402,537.065,351.155,385.023,519.405,1.020.145,840.701,991.206,1.233.828,1.285.812,824.009,859.628,505.683,579.361,388.720,485.527,285.190,128.465,256.869,536.399,1.122.078,1.150.176,644.984,435.353,192.914,274.003,179.502,286.503,254.436,457.845,667.449,547.241,975.583,1.046.477,652.839,728.072,400.338,329.234,255.883,319.380,438.969,885.848,781.787,887.661,1.245.237,1.268.668,824.255,875.568,467.745,535.872,368.177,403.516,524.345,1.096.295,967.118,1.017.952,1.320.648,1.365.385,903.167,946.901,501.796,628.443,376.265,430.946,775.993,978.039,1.237.262,1.051.972,1.547.032,1.634.093,957.652,1.020.338,567.631,670.983,409.732,444.545,618.309,1.366.813,1.157.324,1.226.981,1.582.730,1.719.856,986.903
Austria,1.208.711,1.522.655,1.401.393,642.029,742.051,864.764,1.773.816,1.758.331,857.485,715.781,519.229,1.367.807,1.365.713,1.817.567,1.383.884,1.014.608,811.642,1.251.462,1.970.233,2.021.167,928.919,878.442,594.297,1.534.047,1.594.228,2.121.989,673.075,67.838,94.723,388.831,1.388.114,1.617.399,679.588,335.962,93.897,87.240,84.580,83.199,86.989,82.088,229.513,502.863,1.437.365,1.772.834,844.133,708.797,345.836,628.085,1.074.865,1.663.297,1.320.035,944.057,799.696,1.192.996,2.326.425,2.380.349,1.167.142,1.014.642,639.049,1.723.476,1.918.995,2.484.108,1.642.311,1.281.787,1.142.807,1.539.888,2.789.568,2.628.815,1.431.944,1.138.701,776.593,2.128.396,2.138.099,2.731.365,2.174.233,1.076.118,1.545.926,1.696.319,2.910.056,3.072.042,1.414.586,1.310.358,852.334,2.286.716,2.375.979,2.950.594,1.909.200,1.527.377,1.420.322,1.966.975,3.026.741,3.224.760,1.468.396
Poland,800.229,831.710,799.463,1.005.567,1.242.294,1.392.342,2.576.495,2.518.201,1.391.870,1.080.394,837.718,1.113.724,982.521,1.094.381,936.114,1.366.652,1.496.208,1.954.225,3.226.601,3.263.899,1.604.515,1.358.589,1.056.246,1.345.409,1.299.179,1.445.043,512.375,96.993,370.840,1.096.534,2.482.390,2.799.550,1.402.405,784.800,316.666,361.875,260.689,581.321,445.362,374.515,846.532,1.545.030,2.973.810,3.101.997,1.605.970,1.236.703,933.658,1.124.776,1.249.748,1.486.240,1.395.399,1.708.649,1.731.556,2.522.686,4.341.729,4.249.516,2.220.377,1.997.224,1.476.222,1.969.107,1.835.844,2.016.746,1.532.480,2.305.203,2.196.424,3.072.243,5.472.983,5.117.297,2.894.137,2.173.444,1.633.815,2.489.734,2.106.376,2.256.291,2.093.588,2.136.732,3.370.177,3.477.083,6.289.809,6.486.677,3.072.103,2.651.336,2.069.081,3.008.592,2.381.513,2.806.625,1.990.373,2.946.786,3.340.281,4.273.133,6.707.135,7.196.089,3.354.528
Portugal,780.816,915.879,1.440.942,1.851.942,2.301.951,2.754.867,4.585.550,5.180.347,3.097.596,2.298.706,1.091.839,1.246.518,955.195,1.047.727,1.421.553,2.499.220,2.492.017,3.299.935,4.961.228,5.844.391,3.359.622,2.451.238,1.246.085,1.485.406,1.151.422,1.348.078,747.764,128.818,179.047,623.509,1.777.392,3.340.558,1.543.805,897.937,382.756,455.486,307.051,201.666,265.655,408.436,792.788,1.501.464,2.679.503,4.037.682,2.213.404,1.967.000,1.202.093,1.190.295,836.291,1.217.515,1.558.367,2.658.115,2.640.434,3.446.754,5.320.772,5.742.950,3.570.872,2.840.763,1.595.027,1.767.151,1.428.631,1.733.690,2.114.433,3.327.132,3.290.115,3.993.313,5.719.888,6.443.577,4.176.122,3.483.449,1.788.391,2.025.150,1.482.302,1.943.444,2.792.296,3.236.205,4.005.412,4.588.918,6.590.302,7.566.448,4.754.100,3.772.220,2.011.152,2.155.367,1.724.554,2.050.847,2.599.893,4.168.602,4.361.294,5.188.182,7.362.367,8.244.566,5.111.945
Romania,117.120,132.912,139.929,192.816,209.670,242.918,443.954,594.991,292.517,219.696,195.602,210.843,172.582,180.280,187.300,284.016,283.011,368.053,643.299,809.332,383.808,322.312,252.708,305.091,260.172,243.048,103.186,22.150,38.115,136.511,360.118,486.882,265.699,161.413,108.410,126.467,169.052,196.703,136.124,150.357,206.469,269.060,606.252,769.748,389.199,237.140,218.832,252.967,245.630,258.041,327.256,380.310,377.000,495.749,837.221,990.656,489.924,483.937,394.937,452.146,383.254,430.244,389.541,503.397,493.275,648.462,1.046.584,1.239.568,700.679,616.873,540.387,615.677,470.971,545.498,534.410,559.980,706.617,766.136,1.239.277,1.486.434,776.800,764.033,613.497,751.907,621.065,612.868,548.191,700.056,773.461,858.261,1.294.043,1.504.721,841.699
Slovenia,69.413,71.889,76.647,108.964,151.775,218.801,467.464,513.468,235.716,112.664,53.799,108.743,71.327,78.983,67.824,163.906,160.661,286.264,552.600,624.189,261.310,137.991,57.110,121.638,84.976,89.822,26.942,3.189,7.905,65.524,214.349,255.535,97.945,21.601,4.793,4.530,4.648,6.167,6.828,8.556,26.124,88.306,300.268,408.357,186.621,81.218,31.182,56.096,64.123,76.458,67.060,130.457,148.268,290.741,634.853,695.991,291.257,157.186,63.496,121.073,106.430,111.385,83.827,215.133,239.375,381.118,811.876,786.251,350.219,171.495,71.589,153.862,102.518,121.644,139.190,182.447,323.305,403.969,858.896,944.701,404.488,219.795,95.886,174.901,122.229,123.877,101.697,278.442,326.570,525.317,957.165,1.039.954,460.346
Slovakia,131.056,154.268,114.072,80.619,95.674,115.627,254.428,276.277,133.175,106.400,73.556,136.148,156.720,204.784,114.244,130.505,165.954,178.530,328.575,372.269,158.919,155.205,95.525,177.047,203.444,249.169,71.366,10.078,23.357,61.718,264.293,303.986,122.693,43.228,30.854,50.654,18.169,21.107,17.445,27.065,50.431,83.854,255.367,280.016,125.901,89.794,42.367,62.590,118.462,178.094,130.794,125.728,114.248,169.738,371.186,385.638,185.284,160.907,105.578,184.128,229.596,300.877,169.683,190.871,166.694,229.189,480.536,490.790,265.017,194.422,139.339,261.877,278.389,344.637,232.534,177.925,273.383,284.355,538.574,603.878,264.452,270.187,182.196,339.001,317.049,400.629,202.448,272.908,302.677,373.896,557.290,658.502,313.945
Finland,170.201,193.675,208.589,144.821,136.252,221.281,328.062,289.913,167.907,160.052,156.968,280.300,198.209,217.160,214.562,176.211,180.493,268.949,407.598,354.270,209.368,197.099,184.971,306.620,253.794,275.509,167.672,46.347,57.941,152.508,315.111,201.457,136.489,143.173,91.453,157.430,109.447,157.719,163.480,130.338,113.085,221.534,435.057,272.587,190.696,190.564,155.622,272.521,192.605,255.774,260.768,224.590,198.016,298.223,504.612,362.009,256.849,233.633,209.086,360.583,263.610,341.846,327.140,268.440,245.643,390.752,623.961,485.767,314.131,284.546,273.785,508.088,352.701,479.341,465.091,272.683,286.236,492.587,755.300,578.597,346.364,344.231,376.468,686.452,500.798,596.297,508.603,351.996,340.349,569.185,837.124,640.472,376.981
Sweden,95.773,126.250,139.489,137.293,200.625,301.675,676.525,515.170,210.526,174.039,119.675,163.680,121.171,167.560,151.919,194.522,241.201,410.523,902.975,666.826,241.659,208.997,142.313,200.761,159.617,214.519,130.557,71.476,100.930,215.385,654.449,400.797,181.639,206.827,107.277,150.636,131.674,152.500,163.498,170.708,179.429,335.860,933.578,681.865,249.441,228.681,167.309,219.135,190.827,246.968,235.097,286.777,310.659,522.722,1.218.047,886.324,334.139,286.989,208.350,262.357,227.834,304.339,278.396,342.574,391.711,654.977,1.650.845,1.164.301,404.857,354.847,238.321,367.296,281.873,422.064,431.204,326.654,555.745,834.223,2.085.877,1.446.566,481.124,420.508,276.072,463.040,346.164,504.912,406.939,480.712,580.672,985.850,2.332.797,1.661.547,545.678
Iceland,128.215,176.033,205.004,146.147,192.473,301.797,379.170,402.188,268.842,216.265,141.155,157.108,116.387,159.972,173.175,126.898,138.338,239.774,324.862,332.087,196.850,160.109,101.412,116.052,95.925,120.481,70.156,7.080,9.389,19.674,93.716,85.143,18.766,11.424,6.713,10.075,7.761,13.392,16.373,16.336,31.550,83.025,167.057,179.991,123.822,108.081,67.189,67.837,50.282,78.877,99.052,103.914,119.424,206.867,292.176,297.679,184.222,155.901,101.326,107.326,90.165,137.534,148.770,139.827,172.474,272.373,359.468,373.860,251.523,218.049,133.253,130.342,102.295,159.982,195.351,125.828,164.345,262.336,365.968,378.630,251.205,233.711,142.351,144.336,107.928,158.364,173.595,176.000,180.636,298.389,413.365,424.712,265.474
Liechtenstein,883,1.213,1.141,913,1.087,1.005,1.864,2.045,1.234,1.035,597,857,780,1.231,1.141,1.246,1.391,1.468,2.117,2.472,1.692,1.372,788,1.362,1.093,1.553,558,154,225,640,2.071,2.143,1.672,971,457,770,902,861,582,607,718,855,1.757,2.126,1.252,1.028,736,843,769,1.328,862,924,1.211,1.822,2.867,2.758,1.657,1.781,851,1.366,1.363,1.878,1.402,1.909,1.781,2.188,2.895,3.218,1.955,1.781,817,1.299,1.137,1.689,1.429,1.671,2.452,2.398,3.226,3.770,2.126,1.977,1.103,1.674,1.539,2.010,1.477,1.870,2.563,2.856,3.810,4.125,2.428
Norway,137.313,198.150,226.687,167.821,228.874,357.712,651.986,566.158,250.946,199.339,149.106,198.979,168.497,245.127,240.602,229.964,258.084,442.952,805.103,652.939,287.219,232.738,169.595,237.385,205.017,315.770,145.227,39.207,79.334,158.554,720.039,321.448,148.618,139.244,81.681,111.279,82.292,124.992,131.926,93.163,115.934,198.007,801.080,418.439,219.236,228.760,156.283,200.554,155.300,271.636,262.542,280.522,287.068,496.725,1.021.588,775.012,346.742,295.282,217.749,309.055,263.622,412.397,373.682,372.680,385.616,652.501,1.277.164,1.056.619,476.398,397.357,290.558,468.257,387.723,620.178,637.120,368.142,522.912,807.395,1.574.217,1.279.766,562.074,479.261,397.261,674.981,527.861,764.626,650.959,520.867,589.281,997.183,1.840.614,1.507.090,643.787
